date,merged file,link_link,called (NaN: not available; 1=yes; 0=not interested;),irrelevant,Erlaubnis nochmal anrufen,hilfsbereit/gesprächig,website,Nummer,job,Notizen
,,https://www.google.com/maps/place/Zahn%C3%A4rztliches+Zentrum+DRes.+RIEDEL/data=!4m7!3m6!1s0x47a2e420bec1fdc5:0xdf7c3a9489afd801!8m2!3d50.1434945!4d9.9675259!16s%2Fg%2F1tgdbdzh!19sChIJxf3BviDkokcRAdiviZQ6fN8?authuser=0&hl=de&rclk=1,,,,,http://www.zahnmedizin-elfershausen.de/,,"zahn, doc",
,,https://www.google.com/maps/place/Trimburg/data=!4m7!3m6!1s0x47a2e43a010794ab:0x13ecc886ce30267d!8m2!3d50.1356511!4d9.9815505!16s%2Fg%2F120l2vvx!19sChIJq5QHATrkokcRfSYwzobI7BM?authuser=0&hl=de&rclk=1,,,,,https://www.trimburg.com/,,,
,,https://www.google.com/maps/place/Vetscreen+GmbH+Labor+f%C3%BCr+Tierheilpraktiker/data=!4m7!3m6!1s0x47a2e2dc85262553:0x2b89f1f529705c7b!8m2!3d50.20844!4d10.07725!16s%2Fg%2F12lv8c0p0!19sChIJUyUmhdziokcRe1xwKfXxiSs?authuser=0&hl=de&rclk=1,,,,,http://www.vetscreen.de/,,"hp, tier",
,,https://www.google.com/maps/place/Weingut+H%C3%BCmmler/data=!4m7!3m6!1s0x47a2e69f0e1deb2b:0x7f5869ef64433362!8m2!3d50.1462901!4d9.9627536!16s%2Fg%2F1th7lxmk!19sChIJK-sdDp_mokcRYjNDZO9pWH8?authuser=0&hl=de&rclk=1,,,,,http://www.weingut-huemmler.de/,,,
,,https://www.google.com/maps/place/Frau+Iris+Morad/data=!4m7!3m6!1s0x47a2e63216b6a4db:0x924221ca7212a903!8m2!3d50.1022786!4d9.9028417!16s%2Fg%2F1tks5b44!19sChIJ26S2FjLmokcRA6kScsohQpI?authuser=0&hl=de&rclk=1,,,,,0,,,
,97727_heilpraktiker.html,97727_heilpraktiker.html,,,,,,,,
,,https://www.google.com/maps/place/Frau+Petra+Albrecht-Bickel/data=!4m7!3m6!1s0x47a2e66696c98db5:0x52346365345b6f5c!8m2!3d50.1226989!4d9.9369613!16s%2Fg%2F1hc4q1bxt!19sChIJtY3JlmbmokcRXG9bNGVjNFI?authuser=0&hl=de&rclk=1,,,,,0,,hp,
,,https://www.google.com/maps/place/Antonia+Mauder-Bedenk+Praxis+f%C3%BCr+Physiotherapie/data=!4m7!3m6!1s0x47a2e613c90d1075:0xf8e8cce103bacc5f!8m2!3d50.1040611!4d9.9362564!16s%2Fg%2F1pv5xyj2x!19sChIJdRANyRPmokcRX8y6A-HM6Pg?authuser=0&hl=de&rclk=1,,,,,http://www.antonia-mauder-physio.de/,,physio,
,,https://www.google.com/maps/place/Die+Steinwerkstatt+Gabriela+Hermanns/data=!4m7!3m6!1s0x47a2e7be3b0bc147:0x4ef9b3dc015f2b88!8m2!3d50.1097574!4d9.9329785!16s%2Fg%2F11h4c42qn3!19sChIJR8ELO77nokcRiCtfAdyz-U4?authuser=0&hl=de&rclk=1,,,,,0,,,
,,https://www.google.com/maps/place/an%C3%A4sthesiepunkt/data=!4m7!3m6!1s0x47a2e66d64001a93:0xd841c332aa0acc6e!8m2!3d50.1070574!4d9.9335478!16s%2Fg%2F11c587swrh!19sChIJkxoAZG3mokcRbswKqjLDQdg?authuser=0&hl=de&rclk=1,,,,,http://www.anaesthesiepunkt.de/,,,
,,https://www.google.com/maps/place/Antonia+Mau+Krankengymnastik-Praxis/data=!4m7!3m6!1s0x47a2e613c90d1075:0xb1ddbf24056ca7b9!8m2!3d50.10479!4d9.93477!16s%2Fg%2F11d_tp4k6l!19sChIJdRANyRPmokcRuadsBSS_3bE?authuser=0&hl=de&rclk=1,,,,,http://www.antonia-mauder-physio.de/,,physio,
,,https://www.google.com/maps/place/Herr+Dr.+med.+Markus+Full/data=!4m7!3m6!1s0x47a2e66d64001a93:0xaece2a59383ada39!8m2!3d50.11004!4d9.94014!16s%2Fg%2F1tdk4592!19sChIJkxoAZG3mokcROdo6OFkqzq4?authuser=0&hl=de&rclk=1,,,,,https://www.anaesthesiepunkt.de/,,doc,
,,https://www.google.com/maps/place/Herr+Dr.+med.+Volker+Rodemer/data=!4m7!3m6!1s0x47a2e614beb030b3:0xc621b3eafe674b22!8m2!3d50.1080349!4d9.9317733!16s%2Fg%2F1th48df1!19sChIJszCwvhTmokcRIktn_uqzIcY?authuser=0&hl=de&rclk=1,,,,,https://praxis-rodemer.de/,,doc,
,,https://www.google.com/maps/place/Marion+Friedl/data=!4m7!3m6!1s0x479f5661796c19f7:0x36f7d015529b9211!8m2!3d49.45358!4d11.03033!16s%2Fg%2F1hhky78v0!19sChIJ9xlseWFWn0cREZKbUhXQ9zY?authuser=0&hl=de&rclk=1,,,,,http://www.heilpraktiker-friedl.de/,,hp,
,,https://www.google.com/maps/place/Art+of+Life/data=!4m7!3m6!1s0x47a2e32779306617:0x1de76cf88ef5e571!8m2!3d50.2000234!4d10.0779106!16s%2Fg%2F11gmwx9qv4!19sChIJF2YweSfjokcRceX1jvhs5x0?authuser=0&hl=de&rclk=1,,,,,https://www.gabriele-sauer-reiki.de/,,schwurb,
,,https://www.google.com/maps/place/next+level.therapie-+%26+trainingszentrum/data=!4m7!3m6!1s0x47a2f7eb1c4a6ef7:0xa54052d9912e3efa!8m2!3d50.0545369!4d10.2025651!16s%2Fg%2F1vxw78bf!19sChIJ925KHOv3okcR-j4ukdlSQKU?authuser=0&hl=de&rclk=1,,,,,http://www.ihr-nextlevel.de/,,hp,
,,https://www.google.com/maps/place/Vollmuth+%26+K%C3%B6hler+GmbH/data=!4m7!3m6!1s0x47a2e61497b4f533:0xbf6d67925f9aaa8b!8m2!3d50.1077424!4d9.9319164!16s%2Fg%2F1trrc5v6!19sChIJM_W0lxTmokcRi6qaX5Jnbb8?authuser=0&hl=de&rclk=1,,,,,https://www.gasthof-vollmuth-kohler.de/,,,
,,https://www.google.com/maps/place/Fuchsbau+Inh.+Kohler/data=!4m7!3m6!1s0x47a2e6147c91b371:0x5764514387f97950!8m2!3d50.106266!4d9.9321193!16s%2Fg%2F1td0fhrg!19sChIJcbORfBTmokcRUHn5h0NRZFc?authuser=0&hl=de&rclk=1,,,,,http://fuchsbau-fuchsstadt.de.tl/,,,
,,https://www.google.com/maps/place/Unterfr%C3%A4nkische+Akademie+f%C3%BCr+Psychotherapie/data=!4m7!3m6!1s0x47a2f7456751c4b9:0x2057442b2fc590dd!8m2!3d50.0439997!4d10.2329073!16s%2Fg%2F11qykkjq9h!19sChIJucRRZ0X3okcR3ZDFLytEVyA?authuser=0&hl=de&rclk=1,,,,,http://www.ufrap.de/,,"edu, psy",
,,https://www.google.com/maps/place/Yogaschule+Nadja+M%C3%BCtzel/data=!4m7!3m6!1s0x47a2e672a7695071:0x659922360c93fb98!8m2!3d50.109253!4d9.9403594!16s%2Fg%2F1vcjl7q_!19sChIJcVBpp3LmokcRmPuTDDYimWU?authuser=0&hl=de&rclk=1,,,,,0,,"edu, yoga",
,97729_heilpraktiker.html,97729_heilpraktiker.html,,,,,,,,
,,https://www.google.com/maps/place/Naturheilpraxis+Heilpraktikerin+Maria+Dittmann/data=!4m7!3m6!1s0x47a2f9ded2b85381:0x9a97f6b3c14fdb3c!8m2!3d51.1758057!4d10.4541194!16s%2Fg%2F11rby_mpb3!19sChIJgVO40t75okcRPNtPwbP2l5o?authuser=0&hl=de&rclk=1,,,,,http://www.praxis-dittelbrunn.de/,,hp,
,,https://www.google.com/maps/place/Lichtpunkt+Energiearbeit/data=!4m7!3m6!1s0x47a2e59f2670d50d:0x2096f8800f6d930e!8m2!3d50.13923!4d10.07132!16s%2Fg%2F11jfffbkz8!19sChIJDdVwJp_lokcRDpNtD4D4liA?authuser=0&hl=de&rclk=1,,,,,0,,schwurb,
